Unnamed: 0,Character,Line,Season,Episode_Number
0,Michael, all right jim your quarterlies look very good how are things at the library,1,1
1,Jim, oh i told you i couldnt close it so,1,1
2,Michael, so youve come to the master for guidance is this what youre saying grasshopper,1,1
3,Jim, actually you called me in here but yeah,1,1
4,Michael, all right well let me show you how its done  ,1,1
5,Michael, on the phone yes id like to speak to your office manager please yes hello this is michael scott i am the regional manager of dunder mifflin paper products just wanted to talk to you manageramanger quick cut scene all right done deal thank you very much sir youre a gentleman and a scholar oh im sorry ok im sorry my mistake hangs up that was a woman i was talking to so she had a very low voice probably a smoker so clears throat so thats the way its done  ,1,1
6,Michael, ive uh ive been at dunder mifflin for 12 years the last four as regional manager if you want to come through here see we have the entire floor so this is my kingdom as far as the eye can see this is our receptionist pam pam pampam pam beesly pam has been with us for  forever right pam,1,1
7,Pam, well i dont know,1,1
8,Michael, if you think shes cute now you should have seen her a couple of years ago growls,1,1
9,Pam, what,1,1
10,Michael, any messages,1,1
11,Pam, uh yeah just a fax,1,1
12,Michael, oh pam this is from corporate how many times have i told you theres a special filing cabinet for things from corporate,1,1
13,Pam, you havent told me,1,1
14,Michael, its called the wastepaper basket look at that look at that face  ,1,1
15,Michael, people say i am the best boss they go god weve never worked in a place like this before youre hilarious and you get the best out of us shows the camera his worlds best boss mug i think that pretty much sums it up i found it at spencer gifts  ,1,1
16,Dwight, singing shall i play for you pa rum pump um pum imitates heavy drumming i have no gifts for you pa rum pump um pum imitates heavy drumming  ,1,1
17,Jim, my job is to speak to clients on the phone about uh quantities and type of copier paper you know whether we can supply it to them whether they can pay for it and im boring myself just talking about this  ,1,1
18,Michael, whassup,1,1
19,Jim, whassup i still love that after seven years,1,1
20,Michael, whassup,1,1
21,Dwight, whassup,1,1
22,Michael, whassup,1,1
23,Dwight, whassup,1,1
24,Michael, strains grunts what,1,1
25,Jim, nothing,1,1
26,Michael, ok all right see you later,1,1
27,Jim, all right take care,1,1
28,Michael, back to work  ,1,1
30,Michael, corporate really doesnt really interfere with me at all jan levinson gould walking out of his office jan hello  i call her hillary rodham clinton right not to her face because well not because im scared of her because im not but um yeah  ,1,1
32,Michael, um me no get an agenda,1,1
34,Michael, i didnt get any agenda,1,1
36,Michael, really i didnt looks at pam did we get a fax this morning,1,1
37,Pam, uh yeah the one,1,1
38,Michael, why isnt it in my hand a company runs on efficiency of communication right so whats the problem pam why didnt i get it,1,1
39,Pam, you put in the garbage can that was a special filing cabinet,1,1
40,Michael, yeah that was a joke that was a joke that was actually my brothers and it was supposed to be with bills and it doesnt work great with faxes,1,1
42,Michael, yeah yeah lovely thank you,1,1
44,Michael, ok,1,1
46,Michael, no no no no this is good this is good this is fine excellent,1,1
48,Michael, all the alarm bells are kind of going ringiedingieding,1,1
50,Michael, ok no problem,1,1
52,Michael, me no wanna hear that jan because downsizing is a bitch it is a real bitch and i wouldnt wish that on joshs men i certainly wouldnt wish it on my men or women present company excluded sorry uh is josh concerned about downsizing himself not downsizing himself but is he concerned about downsizing  ,1,1
53,Michael,  question how long do we have to telephone rings oh uh todd packer terrific rep do you mind if i take it,1,1
57,Michael, oh thats not appropriate,1,1
59,Michael, uh i dont know what you mean,1,1
61,Michael, oh my god oh thats horrifying horrible horrible person,1,1
63,Michael, no absolutely under this regime it will not leave this office zips his lips like that  ,1,1
69,Pam, i have an important question for you,1,1
70,Jim, yes,1,1
71,Pam, are you going to angelas cat party on sunday,1,1
72,Jim, yeah stop that is ridiculous  ,1,1
73,Michael, am i going to tell them no i am not going to tell them i dont see the point of that as a doctor you would not tell a patient if they had cancer  ,1,1
74,Michael, hey,1,1
76,Pam, this is mr scott,1,1
77,Michael, guilty guilty as charged,1,1
79,Michael, howard like moe howard three stooges,1,1
81,Michael, watch this this is moe nyucknyucknyucknyucknyuck mee hold hand up for a high five ah right here three stooges oh pam its a guy thing pam im sort of a student of comedy watch this here we go yelling in cod german im hitler adolf hitler continues with cod german  ,1,1
82,Pam, i dont think it would be the worst thing if they let me go because then i might i dont think its many little girls dream to be a receptionist i like to do illustrations um mostly watercolor a few oil pencil um jim thinks theyre good,1,1
83,Pam, dunder mifflin this is pam  ,1,1
84,Jim, sure mr davis let me call you right back yeah something just came up two minutes thank you very much dwight what are you doing,1,1
85,Dwight, what,1,1
86,Jim, what are you doing,1,1
87,Dwight, just clearing my desk i cant concentrate,1,1
88,Jim, its not on your desk,1,1
89,Dwight, its overlapping its all spilling over the edge one word two syllables demarcation,1,1
90,Dwight, you cant do that,1,1
91,Jim, why not,1,1
92,Dwight, safety violation i could fall and pierce an organ,1,1
93,Jim, crosses fingers well see dwight begins smashing pencils with his phone this is why the whole downsizing thing just doesnt bother me,1,1
94,Dwight, downsizing  ,1,1
95,Dwight, downsizing i have no problem with that i have been recommending downsizing since i first got here i even brought it up in my interview i say bring it on  ,1,1
96,Pam, you just still have these messages from yesterday,1,1
97,Michael, relax everythings under control uh yeah yeah thats important right oh this is so important i should run to answer it imitating sixmillion dollar man sound effect,1,1
98,Pam, what,1,1
99,Michael, come on sixmillion dollar man steve austin actually that would be a good salary for me dont you think six million dollars memo to jan i deserve a raise,1,1
100,Pam, dont we all,1,1
101,Michael, im sorry,1,1
102,Pam, nothing,1,1
103,Michael,  if youre unhappy with your compensation maybe you should take it up with hr ok not today ok pam just be professional sighs  ,1,1
104,Michael, i think im a role model here i think i garner peoples respect imitating a pa attention all dunder mifflin employees please we have a meeting in the conference room asap  ,1,1
105,Michael, people i respect heroes of mine would be bob hope abraham lincoln definitely bono and probably god would be the fourth one and i just think all those people really helped the world in so many ways that its really beyond words its really incalculable  ,1,1
106,Michael, now i know theres some rumors out there and i just kind of want to set the record straight,1,1
107,Dwight, im assistant regional manager i should know first,1,1
108,Michael, assistant to the regional manager,1,1
109,Dwight, ok um can you just tell me please just tell me quietly can you whisper it in my ear,1,1
110,Michael, im about to tell everybody im just about to tell everybody,1,1
112,Dwight, please ok do you want me to tell em,1,1
113,Michael, you dont know what it is laughs,1,1
114,Dwight, ok you tell em with my permission permission granted,1,1
115,Michael, i dont need your permission ,1,1
116,Dwight, go ahead,1,1
117,Michael, corporate has deemed it appropriate to enforce an ultimatum upon me and jan is thinking about downsizing either the stamford branch or this branch  ,1,1
120,Michael, not gonna happen,1,1
122,Michael, it wont be out of my hands stanley ok i promise you that,1,1
124,Dwight, on his mothers grave,1,1
125,Michael, no,1,1
127,Michael,  well yeah it is a promise and frankly im a little insulted that you have to keep asking about it,1,1
129,Michael, i know hold on a second i think pam wanted to say something pam you had a look that you wanted to ask a question just then,1,1
130,Pam, i was in the meeting with jan and she did say that it could be this branch that gets the axe,1,1
132,Michael, well pam maybe you should stick to the ongoing confidentiality agreement of meetings,1,1
133,Dwight, pam information is power,1,1
135,Michael, no stanley no you did not see me in there with her i said if corporate wants to come in here and interfere then theyre gonna have to go through me right you can go mess with joshs people but im the head of this family and you aint gonna be messing with my chillin  ,1,1
136,Jim, if i left what would i do with all this useless information in my head you know tonnage price of manila folders um pams favorite flavor of yogurt which is mixed berry  ,1,1
137,Pam, jim said mixed berries well yeah hes on to me um laughs  ,1,1
138,Michael, watch out for this guy dwight schrute in the building this is ryan the new temp,1,1
140,Michael, introduce yourself be polite ,1,1
141,Dwight, dwight schrute assistant regional manager,1,1
142,Michael, assistant to the regional manager so uh dwight tell him about the kung fu and the car and everything,1,1
143,Dwight, uh yeah i got a 78 280z bought it for 1200 fixed it up its now worth three grand,1,1
144,Michael, thats his profit,1,1
145,Dwight, new engine new suspension i got a respray ive got some photos  ,1,1
146,Dwight, damn it jim,1,1
147,Michael, ok hold on hold on the judge is in session what is the problem here,1,1
148,Dwight, he put my stuff in jello again,1,1
149,Pam, laughing,1,1
150,Dwight, thats real professional thanks thats the third time and it wasnt funny the first two times either jim  ,1,1
151,Dwight, its ok here but people sometimes take advantage because its so relaxed im a volunteer sheriffs deputy on the weekends and you cannot screw around there thats sort of one of the rules  ,1,1
152,Michael, what is that,1,1
153,Dwight, that is my stapler,1,1
154,Michael, no no no do not take it out you have to eat it out of there because there are starving people in the world turns to camera which i hate and it is a waste of that kind of food,1,1
155,Dwight, ok you know what you can be a witness points to ryan can you reprimand him,1,1
156,Jim,  how do you know it was me,1,1
157,Dwight, its always you are you going to discipline him or not,1,1
158,Michael, discipline kinky laughs all right heres the deal you guys the thing about a practical joke is you have to know when to start and as well as when to stop,1,1
159,Dwight, yeah,1,1
160,Michael,  and yeah jim this is the time to stop putting dwights personal effects into jello,1,1
161,Jim, ok dwight im sorry because i have always been your biggest flan,1,1
162,Michael, laughing nice thats the way it is around here it just kind of goes round and round,1,1
164,Michael, hey yes new guy he scores,1,1
165,Dwight, ok thats great i guess what im most concerned with is damage to company property thats all,1,1
166,Michael, pudding pudding im trying to think of another dessert to do  ,1,1
167,Jim, do you like going out at the end of the week for a drink,1,1
168,Pam, yeah,1,1
169,Jim, thats why were all going out so we can have an endoftheweekdrink,1,1
170,Pam, so when are we going out,1,1
171,Jim, tonight hopefully,1,1
172,Pam, ok yeah,1,1
174,Jim, whats going on,1,1
176,Pam, hey  ,1,1
177,Pam, roys my fiance weve been engaged about three years we were supposed to get married in september but i think were gonna get married in the spring  ,1,1
178,Pam, do you mind if i go out for a drink with these guys,1,1
180,Pam, ok im gonna be a few minutes so its only twenty past five i still have to do my faxes,1,1
181,Jim, you know what you should come with us because you know were all going out and it could be a good chance for you to see what people are like outside the office i think it could be fun,1,1
183,Jim, yeah yeah ,1,1
184,Jim, um whats in the bag,1,1
186,Jim, no definitely all right dude awesome will do  ,1,1
187,Jim, do i think ill be invited to the wedding scratches head  ,1,1
188,Michael, so have you felt the vibe yet we work hard we play hard sometimes we play hard when we should be working hard right i guess the atmosphere that ive created here is that im a friend first and a boss second and probably an entertainer third knock at door just a second right oh hey do you like the jamie kennedy experiment punkd and all that kind of stuff,1,1
190,Michael, you are gonna be my accomplice just go along with it ok,1,1
192,Michael, just follow my lead dont pimp me all right come in so uh corporate just said that i dont want to,1,1
193,Pam, you got a fax,1,1
194,Michael, oh thank you pam can you come in here for a sec just have a seat i was gonna call you in anyway you know ryan as you know there is going to be downsizing and you have made my life so much easier in that i am going to have to let you go first,1,1
195,Pam, what why,1,1
196,Michael, why well theft and stealing,1,1
197,Pam, stealing what am i supposed to have stolen,1,1
198,Michael, postit notes,1,1
199,Pam, postit notes what are those worth 50 cents,1,1
200,Michael, 50 cents yeah if you steal a thousand postit notes at 50 cents apiece and you know  youve made a profit margin youre gonna run us out of business pam,1,1
201,Pam, are you serious,1,1
202,Michael, yeah i am,1,1
203,Pam, i cant believe this i mean i have never even stolen as much as a paperclip and youre firing me,1,1
204,Michael, but the best thing about it is that were not going to have to give you any severance pay because that is gross misconduct and just clean out your desk im sorry,1,1
205,Michael, pam starts crying you been xd punk laughing surprise its a joke we were joking around see ok he was in on it he was my accomplice and it was kind of a morale booster thing and we were showing the new guy around giving him the feel of the place so you god we totally got you,1,1
206,Pam, youre a jerk,1,1
207,Michael,  i dont know about that  ,1,1
208,Michael, what is the most important thing for a company is it the cash flow is it the inventory nuhuh its the people the people my proudest moment here was not when i increased profits by 17 or when i cut expenses without losing a single employee no no no no no it was a young guatemalan guy first job in the country barely spoke english he came to me and said mr scott would you be the godfather of my child wow wow didnt work out in the end we had to let him go he sucked  ,1,1
209,Pam, hey,1,1
210,Jim, hey,1,1
211,Jim, how are things,1,1
212,Pam, good i thought you were going out for a drink with,1,1
213,Jim, oh no i just decided not to hows your headache,1,1
214,Pam, its better thanks ,1,1
215,Jim, good good ,1,1
216,Pam, yeah,1,1
217,Jim, thats great,1,1
218,Pam, is,1,1
219,Jim, yeah,1,1
220,Pam, um are you,1,1
221,Jim, am i walking out,1,1
222,Pam, yes,1,1
223,Jim, yes i do you want to,1,1
224,Pam, yeah,1,1
225,Jim, great let me just,1,1
226,Jim, car horn honking oh roy,1,1
227,Pam, yeah listen have a nice weekend,1,1
228,Jim, yeah definitely you too enjoy it looks at camera you know what just come here  ,1,1
230,Dwight, dwight schrute my fathers name also dwight schrute my grandfathers name dweide schrude amish thats my family i dont know where they came the amish came from originally uh amland    ,1,1
231,Michael, holding up a dundie and pretending it is talking hello im michael scott im the best boss in the world    ,1,1
232,Jim, my name is jim halpert and i am a sales rep which is a very important job um without me dozens literally dozens of small businesses would go paperless  they would have to write on their hands or bed sheets or who knows you know total chaos total chaos i mean or they could get their paper somewhere else staples maybe i dont know  ,1,1
234,Michael, pam pampam pam has been with us for  forever right pam,1,1
235,Pam, i guess,1,1
236,Michael, yeah at one time or another every guy in the office has sprayed on pam,1,1
237,Pam, what,1,1
